name,address
ИК-15 Ангарск,"г. Ангарск, 2- й промышленный массив, квартал 40, строение 2"
СИЗО-1 Челябинск,"г. Челябинск, ул. Российская д. 53"
ИК-7 Зеленокумск,"г. Зеленокумск, ул. Почтовая д.78"
ИК-31 Красноярск,"г. Красноярск, ул. Кразовская д.10"
ИК-4 Александрийская,"Ставропольский край, ст. Александрийская, ул. Грейдерная д.4"
ИК-3 Скопин (Октябрьский),"пос. Октябрьский, Скопинский район"
ИК-10 Тверь,"Калининский р- н, п/о Михайловское, п. Металлистов"
СИЗО-1 Мурманск,"г. Мурманск, ул. Радищева д. 32"
ИК-9 Хадыженск,"г. Хадыженск, ул. Грибоедова д. 42"
ИК-12 Шексна,"п. Шексна, ул. Шоссейная д. 12"
ИК-17 Красноярск,"г. Красноярск, п. Индустриальный, ул. Кразовская д. 12"
ИК-2 Рыбинск,"г. Рыбинск, ул. Целинная д. 50"
ИК-41 Юрга,"г. Юрга, ул. Окрайная д. 1"
ИК-2 Тюмень,"г. Тюмень, пос. Строителей"
СИЗО-2 Сосногорск,"г. Сосногорск, пст. Лыаёль, 13"
ИК-53 Верхотурье,"Верхотурский район, п. Привокзальный, ул. Свободы д. 22"
ИК-6 Липецк,"г. Липецк, район Цементного завода"
ИК-29 Пермь,"г. Пермь, ул. Соликамская д. 246"
КП-8 Санкт-Петербург,"г. Санкт-Петербург, 195009, г. Санкт-Петербург, ул. Академика Лебедева, д. 39"
ИК-1 Вологда,"г. Вологда, ул. Левичева д.1-а"
СИЗО-1 Тула,"г. Тула, ул. Мориса Тореза д. 11 Б"
СИЗО-1 Сыктывкар,"г. Сыктывкар, п. Верхний Чов д. 99"
ИК-5 Нижний Новгород,"г. Нижний Новгород, ул. Ракетная д. 2 Г"
СИЗО-1 Оренбург,"г. Оренбург, ул. Набережная д. 7"
ИК-1 Копейск,"г. Копейск, пос. Октябрьский, ул. Городок- 1"
ИК-6 Дыдымкин,"Курский район, х. Дыдымкин,  ул. Тивилева д. 2"
ИК-6 Красноярск,"г. Красноярск, ул. Парашютная д. 3"
СИЗО-2 Людиново,"г. Людиново, ул. Индустриальная д.12"
ИК-40 Кемерово,"г. Кемерово, ул. Волгоградская д. 60 А"
ИК-2 Рязань,"г. Рязань, ул. 1-ая Красная д. 20"
СИЗО-2 Киров,"г. Киров, ул. Нагорная д. 22"
СИЗО-1 Махачкала,"г. Махачкала, ул. Левина д. 45"
ИК-7 Ржев,"г. Ржев, Крестьянский переулок д. 38"
ИК-1 Головино,"Судогодский р- н, ул. Советская д. 50-А"
ИК-11 Ставрополь,"г. Ставрополь- 44,"
ИК-3 Углич,"г. Углич, ул. Камышевское шоссе д. 2"
ИК-9 Дзержинск,"г. Дзержинск, Автозаводское шоссе д. 95 Б"
ИК-1 Кострома,"г. Кострома, ул. Петра Щербины д. 21"
СИЗО-5 Екатеринбург,"г. Екатеринбург, ул. Елизаветинское шоссе д.19"
ИК-33 Елшанка,"г. Саратов, Песчано-Уметский тракт, п. Елшанка"
ИК-6 Стенькино,"Рязанский  район, пос. Стенькино"
СИЗО-3 Череповец,"г. Череповец, Северное шоссе д. 67 В"
ИК-5 Вологодский Пятак,"Белозерский р-н, остров Огненный"
ИК-10 Менделеевск,"г. Менделеевск,"
ИК-2 Екатеринбург,"г. Екатеринбург, ул. Малышева д. 2 Б"
ИК-14 Краснодар,"г. Краснодар, ул. Калинина д. 58"
СИЗО-1 Владимир,"г. Владимир, ул. 9 января, д. 5-А"
СИЗО-1 Казань,"г. Казань, ул. Япеева д.16"
ИК-6 Нижний Тагил,"г. Нижний Тагил, ул. Западная д. 3 А"
ИК-14 Ангарск,"г. Ангарск, 1-й промышленный массив, квартал 9, строение 10/1"
ИК-1 Донской,"г. Донской, микрорайон Комсомольский, проезд Димитрова д.1"
СИЗО-1 Рязань,"г. Рязань, ул. Первомайский проспект д. 27"
ИК-18 Потьма,"Зубово- Полянский р- н, пос. Потьма, ул. Красноармейская д. 10"
ИК-5 Вышний Волочек,"г. Вышний Волочек, Ржевский тракт д. 7"
ИК-2 Липецк,"г. Липецк, ул. Ковалева, строение 130 Б"
СИЗО-3 Воркута,"г. Воркута, ул. Проминдустрии д. 8"
СИЗО-1 Благовещенск,"г. Благовещенск, Серышевский переулок д. 55"
ИК-2 Белый лебедь,"г. Соликамск, ул. Карналитовая д. 98"
ИК-5 Апшеронск,"г. Апшеронск, ул. Советская д. 175"
ИК-5 Клекотки,"Скопинский  район, пос. Клекотки"
ИК-9 Косиново,"г. Курск, пос. Косиново"
СИЗО-1 Архангельск,"г. Архангельск, ул. Попова д. 22"
ИК-2 Энгельс,"г. Энгельс, ул. Функциональный проезд д.14"
ИК-1 Кочубеевское,"Ставропольский край, с. Кочубеевское"
СИЗО-5 Кашира,"г. Кашира, ул. Советская д. 2"
ИК-3 Куета,"г. Барнаул, ул. Куета д. 29"
ИК-5 Козловка,"г. Козловка, ул. Шоссейная д. 10"
СИЗО-1 Барнаул,"г. Барнаул, ул. Канатный проезд д.81"
СИЗО-3 Зелёный Гай,"Мичуринский район, п. Зеленый Гай, ул. Автозаводская д. 6"
КП-19 Красноярск,"г. Красноярск, ул. 60 лет Октября д. 111 А"
ИК-3 Краснотурьинск,"г. Краснотурьинск, п. Малая Лимка, ул. Железнодорожная д. 178"
СИЗО-1 Чита,"г. Чита, ул. Ингодинская д. 1"
ИК-26 Спиридоновка,"Волжский район, с. Спиридоновка, ул.Советская уч.1 «Д»"
ИК-1 Тамбов,"г. Тамбов, ул. Мичуринская д. 57"
ИК-25 Златоуст,"г. Златоуст, ул. Панфилова д. 6"
ИК-4 Томск,"г. Томск, ул. Нахимова д. 3/1"
СИЗО-2 Рыбинск,"г. Рыбинск, Шоссейный пер-к д. 5"
ИК-28 Березники,"г. Березники, пр- кт Ленина д. 81"
СИЗО-4 Златоуст,"г. Златоуст, ул. Аносова д. 273"
ИК-8 Ярославль,"г. Ярославль, ул. Колышкина д.1 А"
ИК-3 Прибрежный,"Костромской р-н, пос. Прибрежный, ул. Мира д. 1"
КП-1 Княжево,"Санкт-Петербург и ЛО, Ленинградская область, Волосовский р- н, п/о Зимитицы, дер. Княжево, КП-1"
СИЗО-2 Заводоуковск,"г. Заводоуковск, ул. Братьев Перевозкиных д. 29-г"
ИК-4 Алексеевка,"г. Алексеевка, ул. Привокзальная д. 2-А"
ИК-5 Вольск,"г. Вольск, пос. Видим д. 12"
ИК-6 Новомосковск,"г. Новомосковск, ул. Центральная д. 27"
ИК-3 Кинешма,"г. Кинешма, ул. Шуйская д. 1"
ИК-19 Тавда,"г. Тавда, п. Белый Яр, ул. Строителей  д.1"
ИК-8 Лабытнанги,"г. Лабытнанги, ул. Северная д. 33"
ИК-9 Петрозаводск,"г. Петрозаводск, пос. Птицефабрика а/я 1443"
ИК-4 Медынь,"г. Медынь, ул. Луначарского д. 2"
ИК-3 Иркутск,"г. Иркутск, ул. Писарева д. 13"
ИК-5 Рубцовск,"г. Рубцовск, ул. Тракторная д. 23"
ИК-10 Саратов,"г. Саратов, Сокурский тракт д. 57"
ИК-6 Шахово,"п. Шахово,"
КП-66 Решеты,"г. Первоуральск, д. Решеты"
ИК-15 Норильск,"г. Норильск, ул. Ветеранов д. 24"
СИЗО-4 Можайск,"г. Можайск, ул. Комсомольская д. 7"
СИЗО-1 Ростовский централ,"г. Ростов-на-Дону, ул. Горького д. 219"
СИЗО-3 Анненковский карьер,"Вадский р- н, п. Анненковский Карьер,  ул. Центральная д. 17."
СИЗО-1 Якутск,"г. Якутск, пос. Большая Марха, ул. Якова Петерса д. 1"
ИК-29 Сорда,"п. Сорда, Верхнекамский район"
СИЗО-3 Воронеж,"г. Воронеж, ул. Антокольского д. 6"
СИЗО-1 Курган,"г. Курган, ул. 2-я Часовая д. 46"
СИЗО-1 Великий Новгород,"г. Великий Новгород, ул. Большая Санкт- Петербургская д. 25 А"
СИЗО-3 Фролово,"г. Фролово, ул. Хлеборобная д. 107/1"
СИЗО-2 Братск,"г. Братск- 10, ул. Прибрежная д. 49 СИЗО-2"
СИЗО-2 Апатиты,"г. Апатиты, ул. Трудовая д. 24 А"
ИК-3 Товарково,"Дзержинский район, пос. Товарково, ул. Дзержинского д. 2 А"
ФК ЛПУ им. Ф.П.Гааза,"г. Санкт- Петербург, ул. Хохрякова д. 1 ФК ЛПУ им.Ф.П.Гааза"
ИК-10 Димитровград,"г. Димитровград, ул. Промышленная д. 3"
ИК-5 Леплей,"Зубово-Полянский р-н, п. Леплей пер. Песочный д. 1"
ИК-2 Тула,"г. Тула, ул. Мориса Тореза д. 11"
ИК-11 Ахтарский,"пос. Ахтарский, ул. Азовская д. 4"
ИК-19 Марково,"Иркутский р- н пос. Марково, а/я 81"
ИК-1 Соликамск,"г. Соликамск, ул. Карналитовая д. 98"
ИК-11 Сургут,"г. Сургут, Северный промышленный р-н, ул. Трудовая д. 2"
ИК-11 Бозой,"Эхирит-Булагатский р-н, п. Бозой"
СИЗО-1 Улан-Удэ,"г. Улан-Удэ, ул. Пристанская д. 4-а"
ИК-8 Благовещенск,"г. Благовещенск, ул. Албазинская, 45"
ИК-26 Волгоград,"г. Волгоград, ул. Довженко д. 34"
ИК-2 Казань,"г. Казань, ул. Производственная д. 18"
ИК-8 Альметьевск,"г. Альметевск, ул. Базовая д. 26"
ИК-5 Коряжма,"г. Коряжма, Магистральное шоссе, 101"
СИЗО-3 Стерлитамак,"г. Стерлитамак, ул. Комсомольская д. 7"
ИК-4 Пугачев,"г. Пугачев, Карьер МВД"
ИК-4 Салават-6,"г. Салават- 6,"
СИЗО-2 Тихвин,"Санкт-Петербург и ЛО, Ленинградская область, г. Тихвин ул. Красноармейская д. 13 СИЗО-2"
ИК-46 Невьянск,"г. Невьянск, ул Долгих д. 81"
ИК-8 Новосибирск,"г. Новосибирск, ул. Богдана Хмельницкого д.116/2"
ИК-3 Владимир,"г. Владимир, ул. Полины Осипенко, д. 49"
ИК-1 Мариинск,"г. Мариинск, ул. Макаренко д. 5"
Т-2 Владимирский централ,"г. Владимир, ул. Большая Нижегородская д. 67"
ИК-2 Двубратский,"пос. Двубратский, ул. Мостовая д.1"
СИЗО-1 Смоленск,"г. Смоленск, пр-кт Гагарина д. 16"
ФКЛПУ ОБ-11 Омск,"г. Омск, ул.Телевизионная д.17"
ИК-42 Синдор,"пос. Синдор, Княжпогостский район, ул. Дзержинского д. 26"
ИК-12 Нижний Тагил,"г. Нижний Тагил, ст. Сан-Донато"
ИК-1 Тлюстенхабль,"Теучежский р- н, п. Тлюстенхабль, ул. Ленина д. 28"
ИК-17 Мурманск,"г. Мурманск, ул. Угольная База д. 9"
КП-2 Зеленоград,"г. Зеленоград, ул. Панфилова д. 21"
ИК-4 Плавск,"г. Плавск, поселок Белая Гора"
СИЗО-2 Нариманов,"г. Нариманов, ул. Береговая д. 7"
СИЗО-1 Ульяновск,"г. Ульяновск, ул. Куйбышева д. 2"
ИК-6 Снежинка,"Амурский район, п. Эльбан, переулок Клубный д. 7"
ИК-2 Новосибирск,"г. Новосибирск, ул.Толмачевская д. 31"
ИК-2 Явас,"Зубово- Полянский р-н, пос. Явас, ул. Чернореченская д. 1"
ИК-17 Озерный,"Зубово- Полянский р-н, пос. Озерный, ул. Лесная д. 3"
СИЗО-4 Анжеро-Судженск,"Анжеро-Судженск, ул. Чекистов д.1"
КП-22 Колывань,"рабочий поселок Колывань, ул. Гагарина д. 9"
