"god";"region";"rayon";"oktmo";"okato";"kladr";"dolya_per_person";"avg_income";"dolya_no_public_transport";"dtp_per_km";"roads_dencity_km_ga"
2015;Астраханская область;Черноярский район;"12650000";"12250000000";"3001200000000";0.000920716112532;17115.7;;0.09719222622358065;0.0004390710327166
2015;Белгородская область;Алексеевский район;"14605000";"14205000000";"3100200000000";0.0009433962264151;26091.6;0.0;0.0807776533788189;0.004138032759882286
2015;Белгородская область;Белгородский район;"14610000";"14210000000";"3102200000000";0.003648433166943982;25696.0;0.0;0.2660347551342812;0.010785850599781897
2015;Белгородская область;Борисовский район;"14615000";"14215000000";"3100300000000";0.0010494402985074627;24907.7;0.0005;0.08760544753600767;0.004738914020035538
2015;Белгородская область;Валуйский район;"14620000";"14220000000";"3100400000000";0.0006733301412497;22693.7;;0.06382073685735846;0.004124259935342748
2015;Белгородская область;Вейделевский район;"14625000";"14225000000";"3100500000000";0.0006068881808527;21956.0;0.0;0.021567216882560424;0.004101732579536031
2015;Белгородская область;Волоконовский район;"14630000";"14230000000";"3100600000000";0.0006398771435884;23614.4;0.0;0.04071661136598341;0.003814671669594701
2015;Белгородская область;Грайворонский район;"14632000";"14232000000";"3100700000000";0.0005397746440861;22305.1;0.0139;0.0435848535384886;0.004299601851762891
2015;Белгородская область;Губкинский район;"14730000";"14235000000";"3100800000000";0.0008788817276304;29601.9;0.0008;0.08745627364248121;0.0078644323773168
2015;Белгородская область;Ивнянский район;"14638000";"14238000000";"3100900000000";0.001026098594691055;24231.1;0.0;0.05787619615814864;0.004562047915239173
2015;Белгородская область;Корочанский район;"14640000";"14240000000";"3101000000000";0.0011511895625479663;25370.7;0.0034000000000000002;0.0645068829915067;0.0047645715272169155
2015;Белгородская область;Красненский район;"14641000";"14241000000";"3101100000000";0.0006508827597429;21807.8;0.0;0.03589053485445689;0.0026163506531660823
2015;Белгородская область;Красногвардеский район;"14642000";"14242000000";"3101200000000";0.0007150234368793;23267.9;0.0014000000000000002;0.049641475984647736;0.0030857299853858295
2015;Белгородская область;Краснояружский район;"14643000";"14243000000";"3101300000000";0.0008206250427409;25383.2;0.0063;0.036775974406759025;0.0068089810064890606
2015;Белгородская область;Новооскольский район;"14644000";"14244000000";"3101400000000";0.0009503444998812;25636.0;;0.06685609362546285;0.004268753747862903
2015;Белгородская область;Прохоровский район;"14646000";"14246000000";"3101500000000";0.000800029091967;24646.1;0.0029;0.04012402059054381;0.00397702124361137
2015;Белгородская область;Рекитянский район;"14648000";"14248000000";"3101600000000";0.0004013071146018;28229.3;0.0016;0.03136200759726367;0.0049552649012774945
2015;Белгородская область;Ровеньский район;"14650000";"14250000000";"3101700000000";0.0006300667870794;21238.2;0.0029;0.02377179080824089;0.004608631506679229
2015;Белгородская область;Старооскольский район;"14740000";"14252000000";"3101800000000";0.0009405954007594;29315.8;0.0017000000000000001;0.17949474902910914;0.007994331387570492
2015;Белгородская область;Чернянский район;"14654000";"14254000000";"3101900000000";0.0004120313143799;22616.4;;0.02800516944881521;0.0037817625865156075
2015;Белгородская область;Шебекинский  район;"14656000";"14256000000";"3102000000000";0.0005170175785977;23495.7;0.0008;0.054480119780873394;0.004623332702063974
2015;Белгородская область;Яковлевский район;"14658000";"14258000000";"3102100000000";0.0005925306286053;25645.5;0.0014000000000000002;0.045412046808673334;0.006870257138726807
2015;Брянская область;Брасовский район;"15604000";"15204000000";"3200200000000";0.0008940101321148;16471.1;0.004;0.13523665796078846;0.001122894097875829
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20024.3;0.003;0.9901817169684998;0.002719330206361376
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20024.3;0.003;0.9901817169684998;0.22029452931754775
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20024.3;0.003;2.3189824567218476;0.0011611260986189437
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20024.3;0.003;2.3189824567218476;0.0940635038640057
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20775.6;0.003;0.9901817169684998;0.002719330206361376
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20775.6;0.003;0.9901817169684998;0.22029452931754775
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20775.6;0.003;2.3189824567218476;0.0011611260986189437
2015;Брянская область;Брянск;"15501000";"15204000000";"3200200000000";0.012310409308123832;20775.6;0.003;2.3189824567218476;0.0940635038640057
2015;Брянская область;Брянский район;"15608000";"15208000000";"3200100000000";0.003000517330574237;25360.8;0.0225;0.3313654696057461;0.002916120441088575
2015;Брянская область;Выгоничский район;"15610000";"15210000000";"3200300000000";0.002000500125031258;28102.0;0.012;0.16319869034644735;0.0023833602958392387
2015;Брянская область;Гордеевский район;"15611000";"15211000000";"3200400000000";0.0009134088417976;16725.3;0.002;0.06337135492145737;0.001864058438487937
2015;Брянская область;Дубровский район;"15612000";"15212000000";"3200500000000";0.0005513287021722;16677.8;0.012;0.04960317310141993;0.0019612230998561735
2015;Брянская область;Дятьковский район;"15616000";"15216000000";"3200600004799";0.001045700374164665;18917.4;0.0003;0.16873187993597505;0.0026848914703052887
2015;Брянская область;Жирятинский район;"15620000";"15220000000";"3200700000000";0.0008474576271186;21600.1;;0.031645568601533634;0.002554326674976971
2015;Брянская область;Жуковский район;"15502000";"15222000000";"3200800000000";0.001170792998086753;18624.4;0.015;0.10526315789473684;0.003494589890362289
2015;Брянская область;Злынковский район;"15623000";"15223000000";"3200900000000";0.0008220979940809;16568.2;0.003;0.0777604939765755;0.0017593784182493176
2015;Брянская область;Карачевский район;"15624000";"15224000000";"3201000000000";0.001124593074874223;20945.3;0.013999999999999999;0.13085399724059715;0.0020623827758116326
2015;Брянская область;Клетянский район;"15626000";"15226000000";"3201100000000";0.0008941250723189;17477.1;0.008;0.05058018355038101;0.002123398486919181
2015;Брянская область;Климовский район;"15628000";"15228000000";"3201200000000";0.000947936415342;16905.0;0.0053;0.12658228224243884;0.0013221178476133819
2015;Брянская область;Клинцовский район;"15630000";"15230000000";"3201300000000";0.0032938076416337285;17897.2;0.02;0.20442930153321975;0.0022727800707775464
2015;Брянская область;Комаричский район;"15632000";"15232000000";"3201400000000";0.0011025358324145535;17691.1;0.005;0.07442224744567695;0.00250252411903661
2015;Брянская область;Красногорский район;"15634000";"15234000000";"3201500000000";0.000728273183363;15213.9;;0.04221388428155043;0.001971737172131568
2015;Брянская область;Мглинский район;"15636000";"15236000000";"3201600000000";0.0008220979940809;17959.9;0.036000000000000004;0.031113876395137876;0.004429437762803341
2015;Брянская область;Навлинский район;"15638000";"15238000000";"3201700000000";0.0014300905724029189;18655.8;0.025;0.10002564916775612;0.0019379497887415224
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;16771.5;0.008;0.29904306765913286;0.0016890765332334117
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;16771.5;0.008;0.29904306765913286;0.044011581191956355
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;16771.5;0.008;0.4428697902943696;0.001140530781459343
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;16771.5;0.008;0.4428697902943696;0.029718347335056305
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;18858.4;0.008;0.29904306765913286;0.0016890765332334117
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;18858.4;0.008;0.29904306765913286;0.044011581191956355
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;18858.4;0.008;0.4428697902943696;0.001140530781459343
2015;Брянская область;Новозыбковский район;"15720000";"15420000000";"3200000400000";0.0009616309260506;18858.4;0.008;0.4428697902943696;0.029718347335056305
2015;Брянская область;Погарский район;"15642000";"15242000000";"3201900000000";0.001295998114911833;17752.5;0.027999999999999997;0.0703474729708657;0.003920995052604654
2015;Брянская область;Почепский район;"15644000";"15244000000";"3202000000000";0.0018222773404874592;22418.3;0.042;0.32432432432432434;0.001176489292357589
2015;Брянская область;Рогнединский район;"15646000";"15246000000";"3202100000000";0.0008965929468022;25045.8;0.055999999999999994;0.03181336058232586;0.0017941230211234256
2015;Брянская область;Севский район;"15648000";"15248000000";"3202200000000";0.0008460787504068;23434.4;0.021;0.053586148693058964;0.0019975627931585176
2015;Брянская область;Сельцо;"15725000";"15425000000";"3200000200000";0.0006525091944477;18168.7;;0.14435696116197486;0.023035065582902716
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20024.3;0.003;0.08147064759867403;0.002719330206361376
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20024.3;0.003;0.08147064759867403;0.22029452931754775
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20024.3;0.003;0.19080235403407608;0.0011611260986189437
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20024.3;0.003;0.19080235403407608;0.0940635038640057
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20775.6;0.003;0.08147064759867403;0.002719330206361376
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20775.6;0.003;0.08147064759867403;0.22029452931754775
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20775.6;0.003;0.19080235403407608;0.0011611260986189437
2015;Брянская область;Стародубский район;"15501000";"15250000000";"3202300000000";0.0010128817785165177;20775.6;0.003;0.19080235403407608;0.0940635038640057
2015;Брянская область;Суземский район;"15652000";"15252000000";"3202400000000";0.00095504902585;16774.4;0.01;0.0560119517690054;0.001999522054422907
2015;Брянская область;Суражский район;"15654000";"15254000000";"3202500000000";0.0008988571673158;20615.9;0.015;0.036014407270207494;0.005167630968440649
2015;Брянская область;Трубчевский район;"15656000";"15256000000";"3202600000000";0.00068282690338;21251.4;0.006999999999999999;0.06314127759699086;0.0020622080768649426
2015;Брянская область;Унеченский район;"15658000";"15258000000";"3202700000000";0.0013074743952930922;22505.7;0.0175;0.09915306629790893;0.00421858938340725
2015;Владимирская область;Владимир;"17605000";"17205000000";"3300200000000";0.007130173473569185;24116.6;0.0005;0.7261429699933231;0.005867533213774119
2015;Владимирская область;Вязниковский район;"17610000";"17210000000";"3300300000000";0.0019749656083575097;19406.0;0.015;0.22635030522343194;0.0028557671501437134
2015;Владимирская область;Гороховецкий район;"17615000";"17215000000";"3300400000000";0.0023723710023267485;21584.5;0.047;0.16199376947040497;0.002161834528740277
2015;Владимирская область;Гусь-Хрустальный район;"17620000";"17220000000";"3300500000000";0.0025998871747075127;20973.5;0.042;0.1694102572031384;0.0014599409028604557
2015;Владимирская область;Камешковский район;"17625000";"17225000000";"3300600000000";0.0027178416360080873;22867.6;0.048;0.20913032064159606;0.0035994602746965165
2015;Владимирская область;Киржачский район;"17630000";"17230000000";"3300700000000";0.002644144375417159;26262.6;0.016;0.21928890211439966;0.004136941043589206
2015;Владимирская область;Ковровский район;"17635000";"17235000000";"3300800000000";0.00863088578461145;20482.8;0.011399999999999999;0.8186780169606674;0.0018127452141599083
2015;Владимирская область;Кольчугинский район;"17640000";"17240000000";"3300900000000";0.001244243054523845;23807.6;0.018000000000000002;0.17294786023642222;0.003311054459722777
2015;Владимирская область;Меленковский район;"17642000";"17242000000";"3301000000000";0.0013058239749281796;19804.5;0.0392;0.09991119140721474;0.0020279883737211804
2015;Владимирская область;Муромский район;"17644000";"17244000000";"3301100000000";0.016087796969508013;17926.4;0.013000000000000001;0.7448037082734442;0.003573030979298126
2015;Владимирская область;Петушинский район;"17646000";"17246000000";"3301200000000";0.0030094120898524466;28511.8;0.025;0.2895125553914328;0.004001182033096927
2015;Владимирская область;Радужный;"17737000";"17537000000";"3300000200000";;;;;
2015;Владимирская область;Селивановский район;"17648000";"17248000000";"3301300000000";0.001806140878988561;19923.4;0.054299999999999994;0.12308839704859398;0.0019314310030582717
2015;Владимирская область;Судогодский район;"17652000";"17252000000";"3301500000000";0.00420938460346564;20142.9;0.038;0.42770925581073177;0.0017578170325296034
2015;Владимирская область;Суздальский район;"17654000";"17254000000";"3301600000000";0.0032095786574400766;20941.6;0.0106;0.2735208535402522;0.0034854631507775526
2015;Владимирская область;Юрьев-Полский район;"17656000";"17256000000";"3301700000000";0.0010049129075480126;21539.5;0.018000000000000002;0.085980413065284;0.0021996785443719924
2015;Волгоградская область;Быковский;"18604000";"18204000000";"3400300000000";0.000990740387913;18407.7;0.023;0.06716610589008169;0.0011351373721570706
2015;Волгоградская область;Волгоград;"18602000";"18202000000";"3400200000000";0.0631629993332121;20573.6;0.001;1.249700186201882;0.003629699227711473
2015;Волгоградская область;Волжский;"18710000";"18410000000";"3400000200000";0.0007632230695667;26956.3;0.0;0.4298291131485196;0.02530799422424503
2015;Волгоградская область;Городищенский;"18605000";"18205000000";"3400400000000";0.0015838876940262425;24191.1;0.0;0.4530281420244739;0.0009615246008952
2015;Волгоградская область;Даниловский;"18606000";"18206000000";"3400500000000";0.0006574621959237;18447.4;0.386;0.03056234604805772;0.0011051291643542872
2015;Волгоградская область;Дубовский;"18608000";"18208000000";"3400600000000";0.0015375359315462263;17715.1;0.025;0.21188391850190325;0.000691300020072
2015;Волгоградская область;Еланский;"18610000";"18210000000";"3400700000000";0.0005518763796909;18057.2;0.0;0.02815035488116489;0.0022643420487966346
2015;Волгоградская область;Жирновский;"18612000";"18212000000";"3400800000000";0.0003448870494913;21878.1;0.011000000000000001;0.026948989412897015;0.0017493408402897272
2015;Волгоградская область;Иловлинский;"18614000";"18214000000";"3400900000000";0.0012629679747406405;22853.7;0.005;0.1880035861570404;0.0005376162803317
2015;Волгоградская область;Калачевский;"18616000";"18216000000";"3401000000000";0.0009117266278879;20668.8;0.01;0.17793594306049823;0.0006650361742847
2015;Волгоградская область;Камышинский;"18618000";"18218000000";"3401100000000";0.002190337902689932;25910.9;0.039;0.23280147225167366;0.0010729601345844243
2015;Волгоградская область;Киквидзенский;"18620000";"18220000000";"3401200000000";0.0005392773683264;18785.0;0.03;0.03879310344827586;0.0011203399652308286
2015;Волгоградская область;Клетский;"18622000";"18222000000";"3401300000000";0.0005596597268861;19473.0;0.06;0.11918950915531874;0.0002359950087363
2015;Волгоградская область;Котельниковский;"18624000";"18224000000";"3401400000000";0.001112226351626292;31721.6;0.012;0.12638717870347138;0.000934563267101
2015;Волгоградская область;Котовский;"18626000";"18226000000";"3401500000000";0.0004385690119667;22415.8;0.006;0.04200420195843566;0.0013635582111857136
2015;Волгоградская область;Кумылженский;"18646000";"18246000000";"3401600000000";0.00108867775138559;17794.6;0.005;0.036393713813068655;0.0020437832812103796
2015;Волгоградская область;Ленинский;"18630000";"18230000000";"3401700000000";0.0015298981152957261;19454.7;0.013999999999999999;0.6334232066449356;0.0002853626526738
2015;Волгоградская область;Михайловский;"18720000";"18420000000";"3400000400000";0.0015776425512733828;24492.2;0.013000000000000001;0.1569154876535841;0.002420877865891267
